Name,LawsonDiv,DivisionNo,PolygonID,Rate ID,Area,City,State,Link,In Compass,Form Completed,Notes,Checked In,,,
DIV_803_HOA_Bentana_Woods_Cluster_Reston_VA.html,3803,803,1007678,3803-803-1007678,A08-Mid_Atlantic,Reston,VA,DIV_803_HOA_Bentana_Woods_Cluster_Reston_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Bentana_Woods_West_Cluster_Reston_VA.html,3803,803,1007679,3803-803-1007679,A08-Mid_Atlantic,Reston,VA,DIV_803_HOA_Bentana_Woods_West_Cluster_Reston_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Berkshire_Woods_Fairfax_VA.html,3803,803,1007680,3803-803-1007680,A08-Mid_Atlantic,Fairfax,VA,DIV_803_HOA_Berkshire_Woods_Fairfax_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Blake_Hills_Vienna_VA.html,3803,803,1578702,3803-803-1578702,A08-Mid_Atlantic,Vienna,VA,DIV_803_HOA_Blake_Hills_Vienna_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Blake_Manor_Fairfax_VA.html,3803,803,1007684,3803-803-1007684,A08-Mid_Atlantic,Fairfax,VA,DIV_803_HOA_Blake_Manor_Fairfax_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Blakelee_Oakton_VA.html,3803,803,1007685,3803-803-1007685,A08-Mid_Atlantic,Oakton,VA,DIV_803_HOA_Blakelee_Oakton_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Blueberry_Hill_Homeowners_Vienna_VA.html,3803,803,1007686,3803-803-1007686,A08-Mid_Atlantic,Vienna,VA,DIV_803_HOA_Blueberry_Hill_Homeowners_Vienna_VA.html,Yes,,,Yes,,,
DIV_803_HOA_BR_Madison_Belmont_Ridge_II_Ashburn_VA.html,3803,803,1007687,3803-803-1007687,A08-Mid_Atlantic,Ashburn,VA,DIV_803_HOA_BR_Madison_Belmont_Ridge_II_Ashburn_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Braddock_Lofts_Alexandria_VA.html,3803,803,1007688,3803-803-1007688,A08-Mid_Atlantic,Alexandria,VA,DIV_803_HOA_Braddock_Lofts_Alexandria_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Braddock_Mews_Place_Springfield_VA.html,3803,803,1007689,3803-803-1007689,A08-Mid_Atlantic,Springfield,VA,DIV_803_HOA_Braddock_Mews_Place_Springfield_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Early_Street_Village_Alexandria_VA.html,3803,803,1007834,3803-803-1007834,A08-Mid_Atlantic,Alexandria,VA,DIV_803_HOA_Early_Street_Village_Alexandria_VA.html,Yes,6/27/2017,Missing SRD codes for REC,Yes,,,
DIV_803_HOA_Edgemoore_Vienna_VA.html,3803,803,1008195,3803-803-1008195,A08-Mid_Atlantic,Vienna,VA,DIV_803_HOA_Edgemoore_Vienna_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Edgewater_Land_Bay_Four_Burke_VA.html,3803,803,1007835,3803-803-1007835,A08-Mid_Atlantic,Burke,VA,DIV_803_HOA_Edgewater_Land_Bay_Four_Burke_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Edgewater_Land_Bay_II_Burke_VA.html,3803,803,1007836,3803-803-1007836,A08-Mid_Atlantic,Burke,VA,DIV_803_HOA_Edgewater_Land_Bay_II_Burke_VA.html,Yes,,,Yes,,,
